topic_id,lesson_id,s_id
1,1,287
1,1,418
1,1,423
1,1,586
1,1,678
1,1,923
1,1,938
1,1,1069
1,1,1135
1,1,1401
1,2,287
1,2,418
1,2,423
1,2,586
1,2,678
1,2,923
1,2,938
1,2,1069
1,2,1135
1,2,1401
1,3,287
1,3,418
1,3,423
1,3,586
1,3,678
1,3,923
1,3,938
1,3,1069
1,3,1135
1,3,1401
1,4,287
1,4,418
1,4,423
1,4,586
1,4,678
1,4,923
1,4,938
1,4,1069
1,4,1135
1,4,1401
1,5,287
1,5,418
1,5,423
1,5,586
1,5,678
1,5,923
1,5,938
1,5,1069
1,5,1135
1,5,1401
2,1,49
2,1,69
2,1,116
2,1,166
2,1,187
2,1,214
2,1,249
2,1,362
2,1,410
2,1,446
2,2,49
2,2,69
2,2,116
2,2,166
2,2,187
2,2,214
2,2,249
2,2,362
2,2,410
2,2,446
2,3,49
2,3,69
2,3,116
2,3,166
2,3,187
2,3,214
2,3,249
2,3,362
2,3,410
2,3,446
2,4,49
2,4,69
2,4,116
2,4,166
2,4,187
2,4,214
2,4,249
2,4,362
2,4,410
2,4,446
2,5,49
2,5,69
2,5,116
2,5,166
2,5,187
2,5,214
2,5,249
2,5,362
2,5,410
2,5,446
3,1,161
3,1,167
3,1,383
3,1,391
3,1,443
3,1,506
3,1,703
3,1,792
3,1,1088
3,1,1207
3,2,161
3,2,167
3,2,383
3,2,391
3,2,443
3,2,506
3,2,703
3,2,792
3,2,1088
3,2,1207
3,3,161
3,3,167
3,3,383
3,3,391
3,3,443
3,3,506
3,3,703
3,3,792
3,3,1088
3,3,1207
3,4,161
3,4,167
3,4,383
3,4,391
3,4,443
3,4,506
3,4,703
3,4,792
3,4,1088
3,4,1207
3,5,161
3,5,167
3,5,383
3,5,391
3,5,443
3,5,506
3,5,703
3,5,792
3,5,1088
3,5,1207
4,1,1
4,1,2
4,1,4
4,1,8
4,1,10
4,1,12
4,1,16
4,1,20
4,1,21
4,1,22
4,2,1
4,2,2
4,2,4
4,2,8
4,2,10
4,2,12
4,2,16
4,2,20
4,2,21
4,2,22
4,3,1
4,3,2
4,3,4
4,3,8
4,3,10
4,3,12
4,3,16
4,3,20
4,3,21
4,3,22
4,4,1
4,4,2
4,4,4
4,4,8
4,4,10
4,4,12
4,4,16
4,4,20
4,4,21
4,4,22
4,5,1
4,5,2
4,5,4
4,5,8
4,5,10
4,5,12
4,5,16
4,5,20
4,5,21
4,5,22
5,1,23
5,1,345
5,1,442
5,1,529
5,1,622
5,1,624
5,1,683
5,1,739
5,1,766
5,1,962
5,2,23
5,2,345
5,2,442
5,2,529
5,2,622
5,2,624
5,2,683
5,2,739
5,2,766
5,2,962
5,3,23
5,3,345
5,3,442
5,3,529
5,3,622
5,3,624
5,3,683
5,3,739
5,3,766
5,3,962
5,4,23
5,4,345
5,4,442
5,4,529
5,4,622
5,4,624
5,4,683
5,4,739
5,4,766
5,4,962
5,5,23
5,5,345
5,5,442
5,5,529
5,5,622
5,5,624
5,5,683
5,5,739
5,5,766
5,5,962
6,1,63
6,1,142
6,1,229
6,1,298
6,1,452
6,1,532
6,1,567
6,1,608
6,1,718
6,1,889
6,2,63
6,2,142
6,2,229
6,2,298
6,2,452
6,2,532
6,2,567
6,2,608
6,2,718
6,2,889
6,3,63
6,3,142
6,3,229
6,3,298
6,3,452
6,3,532
6,3,567
6,3,608
6,3,718
6,3,889
6,4,63
6,4,142
6,4,229
6,4,298
6,4,452
6,4,532
6,4,567
6,4,608
6,4,718
6,4,889
6,5,63
6,5,142
6,5,229
6,5,298
6,5,452
6,5,532
6,5,567
6,5,608
6,5,718
6,5,889
7,1,6
7,1,9
7,1,33
7,1,133
7,1,191
7,1,245
7,1,316
7,1,320
7,1,331
7,1,368
7,2,6
7,2,9
7,2,33
7,2,133
7,2,191
7,2,245
7,2,316
7,2,320
7,2,331
7,2,368
7,3,6
7,3,9
7,3,33
7,3,133
7,3,191
7,3,245
7,3,316
7,3,320
7,3,331
7,3,368
7,4,6
7,4,9
7,4,33
7,4,133
7,4,191
7,4,245
7,4,316
7,4,320
7,4,331
7,4,368
7,5,6
7,5,9
7,5,33
7,5,133
7,5,191
7,5,245
7,5,316
7,5,320
7,5,331
7,5,368
8,1,32
8,1,75
8,1,146
8,1,243
8,1,479
8,1,533
8,1,673
8,1,773
8,1,901
8,1,906
8,2,32
8,2,75
8,2,146
8,2,243
8,2,479
8,2,533
8,2,673
8,2,773
8,2,901
8,2,906
8,3,32
8,3,75
8,3,146
8,3,243
8,3,479
8,3,533
8,3,673
8,3,773
8,3,901
8,3,906
8,4,32
8,4,75
8,4,146
8,4,243
8,4,479
8,4,533
8,4,673
8,4,773
8,4,901
8,4,906
8,5,32
8,5,75
8,5,146
8,5,243
8,5,479
8,5,533
