s_id,viet,eng,topic
1069,Anh ấy đang vẽ phác họa một quả táo,He's drawing a sketch of an apple,Arts & Culture
8259,Tôi không bao giờ đến kyoto mà không ghé thăm ngôi đền nanzenji .,I never go to Kyoto without visiting the Nanzenji Temple.,Arts & Culture
2795,Giáo hoàng xuất hiện trong chiếc áo choàng màu đỏ của mình,The pope appeared in his red robe,Arts & Culture
10009,Cuốn sách có sẵn ở cả phiên bản bìa cứng và mềm,The book is available in both hard and soft-cover versions,Arts & Culture
2506,Từ điển được sử dụng để tra cứu những từ bạn không biết,Dictionaries are used to look up the words you don't know,Arts & Culture
2864,Bức chân dung này lớn gần bằng cuộc sống,This portrait is nearly as large as life,Arts & Culture
10782,"Trong số các nhạc cụ gió , thổ dân didgeridoo làm từ bạch đàn là sở thích của ông","Among the wind instruments, the aboriginal didgeridoo made of eucalyptus was his favorite",Arts & Culture
5410,Tại sao bạn muốn thế giới biết về khu vườn Nhật bản ?,Why do you want the world to know about Japanese gardens?,Arts & Culture
923,Cô ấy đã viết cuốn sách với rất ít nỗ lực,She wrote the book with very little effort,Arts & Culture
3199,Lần đầu tiên cô tiếp xúc với văn hóa Nhật bản vào năm ngoái,She first came into contact with Japanese culture last year,Arts & Culture
8789,Ngân hàng đó đã được tổ chức hai lần,That bank was held up twice,Business & Entrepreneurs
8978,Anh ta có nhiều tiền hơn số tiền anh ta có thể chi tiêu,He has more money than he can spend,Business & Entrepreneurs
1390,Đầu trang xuất khẩu sang Trung quốc là đậu nành,The top U.s. export to China was soybeans,Business & Entrepreneurs
5628,Tom lập một trang web cho mary,Tom set up a website for Mary,Business & Entrepreneurs
740,Xin vui lòng hủy đơn hàng của chúng tôi .,Please cancel our order.,Business & Entrepreneurs
3881,Anh ấy muốn làm việc trong một nhà máy,He wants to work in a factory.,Business & Entrepreneurs
882,Ông là một nhà phân tích tài chính có danh tiếng khá tốt để phân tích các xu hướng kinh tế,He's a financial analyst with a pretty good reputation for his analysis of economic trends,Business & Entrepreneurs
2191,Anh lái một chiếc xe điện .,He drives an electric car.,Business & Entrepreneurs
3813,Nhà máy này sản xuất phụ tùng ô tô,This factory manufactures automobile parts,Business & Entrepreneurs
3046,Giá đã tăng đều đặn .,Prices have been climbing steadily.,Business & Entrepreneurs
6160,Tom tự giới thiệu .,Tom introduced himself.,Celebrity & Pop Culture
5496,Tôi nghe nói bạn đã nhận được một giải thưởng vào tháng trước,I heard you received an award last month,Celebrity & Pop Culture
1284,"Không chỉ con trai ông , mà con gái ông cũng nổi tiếng .","Not only his son, but his daughter is famous as well.",Celebrity & Pop Culture
9612,Tôi không biết tom là một người nghiện ma túy,I didn't know Tom was a drug addict,Celebrity & Pop Culture
7561,Tôi muốn bạn trở lại trong một mảnh .,I want you back in one piece.,Celebrity & Pop Culture
6832,Tom đang chuyển sang màu trắng .,Tom is turning white.,Celebrity & Pop Culture
10074,Tôi thấy bạn và tom la hét với nhau ngày hôm qua .,I saw you and Tom yelling at each other yesterday.,Celebrity & Pop Culture
9480,Cô ấy chạy rất nhanh để bắt kịp các thành viên khác,She ran very fast to catch up with the other members,Celebrity & Pop Culture
1231,"Con số này được cho là đại diện cho marilyn monroe , nhưng tôi không nghĩ rằng đó là công lý của cô ấy","This figure is supposed to represent Marilyn Monroe, but I don't think it does her justice",Celebrity & Pop Culture
1941,Tom đang ký chữ ký trước nhà hát .,Tom was signing autographs in front of the theater.,Celebrity & Pop Culture
9465,Tom nói mary nên được hạnh phúc .,Tom says Mary should be happy.,Diaries & Daily Life
7763,Tom không cảm thấy thích học chút nào,Tom didn't feel like studying at all,Diaries & Daily Life
7788,Chúng ta nên tiết kiệm một ít bánh cho tom,We should save some cake for Tom,Diaries & Daily Life
8980,Tom nhảy ra khỏi xe,Tom jumped out of the car,Diaries & Daily Life
840,Tôi bị kẹt xe .,I'm stuck in a traffic jam.,Diaries & Daily Life
3181,Tôi cần mua booze cho bữa tiệc .,I need to buy booze for the party.,Diaries & Daily Life
5088,Tom không quan tâm những gì xảy ra với chiếc xe cũ của mình .,Tom doesn't care what happens to his old car.,Diaries & Daily Life
5771,Tôi bắt đầu hiểu lý do tại sao bạn không cố gắng giải thích mọi thứ với tom,I'm beginning to understand why you don't bother to try to explain things to Tom,Diaries & Daily Life
8036,"Khi tôi nói tiếng Nhật , tôi nghe như một đứa trẻ .","When I speak Japanese, I sound like a child.",Diaries & Daily Life
5580,Thị trấn này khá khác so với mười năm trước .,This town is quite different from what it was ten years ago.,Diaries & Daily Life
7903,Thật là tự nhiên khi các thành viên trong gia đình giúp đỡ lẫn nhau,It's natural for family members to help each other,Family
962,Ông phụ trách công việc kinh doanh của gia đình sau khi cha mất .,He took charge of the family business after his father died.,Family
4984,Anh luôn nhầm em với em gái .,He always mistakes me for my sister.,Family
6783,Cô ấy ủng hộ gia đình,She supports her family,Family
10200,Tôi nghe nói cha tôi đã già như tôi bây giờ khi ông đến Tokyo,I hear my father was as old as I am now when he came up to Tokyo,Family
11034,Tom chăm sóc cho người cha ốm yếu của mình .,Tom cared for his sick father.,Family
5475,Mike chăm sóc cha mình trong mọi việc,Mike takes after his father in everything,Family
9090,Những đứa trẻ đang ngủ khi ông bà gọi chúng,The children were sleeping when their grandparents called them,Family
5665,Anh không kiên nhẫn khi thấy con gái,He was impatient to see his daughter,Family
11050,Đừng nói với cha bạn rằng bạn muốn trở thành một chú hề,Don't tell your father you want to become a clown.,Family
10054,Tôi thực sự không đủ khả năng để mua chiếc váy này,I really can't afford to buy this dress,Fashion & Style
8357,Tôi có thể thử chiếc áo khoác này không ?,Can I try on this jacket?,Fashion & Style
4045,Bạn phải giữ cho đôi giày của bạn sạch sẽ,You must keep your shoes clean.,Fashion & Style
5700,Tại sao bạn không mặc đồng phục ?,Why aren't you in your uniform?,Fashion & Style
8153,Cô ấy mặc đồ đen,She was dressed all in black,Fashion & Style
5348,Tôi nên mặc một chiếc áo sơ mi ngắn tay,I should've worn a short-sleeved shirt,Fashion & Style
1845,Sự khác biệt giữa một chiếc váy ngắn và microskirt là gì ?,What's the difference between a miniskirt and a microskirt?,Fashion & Style
10783,Tôi thường mua quần áo của tôi tại cửa hàng bách hóa .,I usually buy my clothes at the department store.,Fashion & Style
3821,Tôi không để ý cách cô ấy mặc quần áo .,I did not notice how she was dressed.,Fashion & Style
7395,Cô mặc một chiếc váy màu xanh trơn .,She wore a plain blue dress.,Fashion & Style
9,Chúng tôi đã đến nhà hát sớm để có chỗ ngồi tốt,We went to the theater early to get good seats,Film Tv & Video
768,Tom rất vui nhộn,Tom was hilarious.,Film Tv & Video
1066,Tôi bảo bạn xem tom cẩn thận .,I told you to watch Tom carefully.,Film Tv & Video
7025,Tom đã bị giết ?,Was Tom killed?,Film Tv & Video
9494,Họ là những diễn viên .,They are actors.,Film Tv & Video
33,Băng cassette dường như đã nhường chỗ cho các đĩa compact phổ biến,Cassette tapes seem to have given way to compact disks in popularity,Film Tv & Video
7588,Bạn đã xem bộ phim cao bồi trên tv tối qua ?,Did you see the cowboy movie on TV last night?,Film Tv & Video
1490,Tom ngủ thiếp đi và bỏ lỡ phần cuối của bộ phim .,Tom fell asleep and missed the end of the movie.,Film Tv & Video
5076,Tom có linh cảm rằng mary đang nhìn người khác .,Tom had a hunch that Mary was seeing someone else.,Film Tv & Video
7255,"Nếu tom và mary làm việc cùng nhau , sẽ không có vấn đề gì .","If Tom and Mary work on it together, there shouldn't be any problems.",Film Tv & Video
10482,Chúng ta nên uống 64 ounce chất lỏng mỗi ngày,We should drink 64 ounces of fluids a day,Fitness & Health
3370,Bạn ốm . Bạn cần phải nghỉ ngơi .,You're sick. You have to rest.,Fitness & Health
8773,Chế độ ăn uống của tom dẫn đến giảm cân,Tom's diet resulted in weight loss,Fitness & Health
8186,Tom đã không dễ dàng đối phó với các vấn đề sức khỏe của mary .,It hasn't been easy for Tom to deal with Mary's health problems.,Fitness & Health
10999,Hút thuốc lá có hại cho sức khỏe của bạn,Smoking is bad for your health,Fitness & Health
479,Tập thể dục mạnh mẽ làm cho bạn đổ mồ hôi .,Vigorous exercise makes you sweat.,Fitness & Health
1981,Có phản ứng bất lợi nào không ?,Is there any adverse reaction?,Fitness & Health
9640,"Nếu bệnh của bạn trở nên tồi tệ hơn , hãy gọi bác sĩ chuyên khoa .","If your illness becomes worse, call in a specialist.",Fitness & Health
1615,Cánh tay của bạn bị hỏng .,Your arm's broken.,Fitness & Health
7496,Tôi tự hào là một bác sĩ,I am proud of being a doctor,Fitness & Health
773,Tom nói với tôi anh ấy đang đi đến phòng tập thể dục .,Tom told me he was going to the gym.,Fitness & Health
3113,Tôi là một y tá .,I am a nurse.,Fitness & Health
2496,Vui lòng giải thích cách dùng thuốc,Please explain how to take the medicine,Fitness & Health
4414,Họ tuyên bố thuốc này là an toàn,They claim this medicine is safe,Fitness & Health
4611,Tom muốn biết làm thế nào anh ta có thể tăng cân .,Tom wants to know how he can gain weight.,Fitness & Health
3852,"Nếu bạn bị cảm lạnh , bạn nên nghỉ ngơi nhiều .","If you have a cold, you should get plenty of rest.",Fitness & Health
5125,Bác sĩ phẫu thuật đã thuyết phục anh ta trải qua một ca cấy ghép nội tạng .,The surgeon persuaded him to undergo an organ transplant.,Fitness & Health
32,Bác sĩ đã nói gì ?,What did the doctor say?,Fitness & Health
533,Anh ấy xanh xao vì anh ấy ốm .,He's pale because he's sick.,Fitness & Health
10327,Bác sĩ khuyên tôi nên uống nhiều sữa .,The doctor advised me to drink more milk.,Fitness & Health
5675,Bạn có thường ăn cá cho bữa tối không ?,Do you often have fish for dinner?,Food & Dining
1878,"Vào buổi sáng , Sandra ăn một lát bánh mì và uống một tách cà phê","In the morning, Sandra eats a slice of bread and drinks a cup of coffee",Food & Dining
4460,Đây là một trong những nơi tốt nhất để ăn trong thị trấn,This is one of the best places to eat in town,Food & Dining
7677,Tôi có thể ăn gì không ?,May I eat something?,Food & Dining
1805,Cô rải mật ong dày lên bánh mì nướng của mình .,She spread honey thickly on her toast.,Food & Dining
6585,Không phải tôi đã ăn miếng bánh cuối cùng,It wasn't me that ate the last piece of cake,Food & Dining
3278,Tom đặt bát bỏng ngô lên bàn .,Tom put the bowl of popcorn on the table.,Food & Dining
2172,Mẹ tôi đang ở trong bếp nấu ăn .,My mother is now in the kitchen cooking.,Food & Dining
10631,Tôi muốn súp gà .,I would like chicken soup.,Food & Dining
6298,Xin lỗi tôi đã không cố định bữa tối nay . tôi đã quá mệt mỏi,Sorry I haven't fixed dinner tonight. I was so tired there was just no way,Food & Dining
7887,Tom đến một cửa hàng tiện lợi gần đó để mua đồ ăn,Tom went to a nearby convenience store to buy something to eat,Food & Dining
7988,Tôi đã ăn quá nhiều,I ate too much,Food & Dining
9755,"Khi nguồn cung cấp thực phẩm của anh ấy cạn kiệt , anh ấy phải tìm một nơi ở mới","When his food supply ran short, he had to look for a new place to live",Food & Dining
1746,Tom rót cho mình một phát súng khác của bourbon,Tom poured himself another shot of bourbon,Food & Dining
6268,"Nấm đang vào mùa , vì vậy chúng rẻ","Mushrooms are in season now, so they are cheap",Food & Dining
4315,Tôi đã có một số brownies .,I've got some brownies.,Food & Dining
6952,Tom đang khuấy cà phê,Tom is stirring his coffee,Food & Dining
10372,Tom muốn mary chỉ cho anh ta cách làm pizza,Tom wanted Mary to show him how to make pizza,Food & Dining
8891,Nướng thịt là một cách để nấu thịt .,Barbecuing is one way to cook meat.,Food & Dining
9745,Tôi cần một ít đường để làm bánh .,I need some sugar to make a cake.,Food & Dining
2847,Tôi đã mua một 3 ds nintendo .,I bought a Nintendo 3DS.,Gaming
9728,Tom đã chơi game trên máy tính từ trưa,Tom's been playing computer games since noon,Gaming
5459,Tôi nghĩ rằng những trò chơi như kẹo nghiền là một sự lãng phí thời gian,I think that games such as Candy Crush are a waste of time,Gaming
7954,Bây giờ chúng tôi có đủ người để chơi mạt chược .,Now we have enough people to play mahjong.,Gaming
4023,Anh ấy chơi thế giới của warcraft,He plays World of Warcraft,Gaming
4900,Chúng tôi đã dành thời gian chơi pachinko,We passed the time playing pachinko,Gaming
2891,Chơi roulette Nga không thực sự là một ý tưởng tốt,Playing Russian roulette isn't really a good idea,Gaming
7958,Đừng chơi game với tôi,Don't play games with me.,Gaming
1531,Nhân vật trò chơi video yêu thích của bạn là ai ?,Who's your favorite video game character?,Gaming
2081,Anh ấy quá yếu để chơi game ngoài trời,He was too frail to play games outdoors,Gaming
8753,Có người muốn chơi game,Someone wants to play games.,Gaming
4948,Tất cả những gì tôi làm hôm nay là chơi game,All I did today was play games,Gaming
2217,Ông đã vượt lên và vượt ra ngoài nhiệm vụ,He went above and beyond the call of duty,Gaming
3835,Cô đang mong chờ được chơi tannis với anh,She was looking forward to playing table tannis with him,Gaming
915,Chính phủ đã được cải cách giáo dục .,The government has been reforming education.,Learning & Educational
1910,Tôi thực sự thất vọng khi phát hiện ra rằng mình đã không vượt qua kỳ thi .,I was really disappointed when I found out that I hadn't passed the exam.,Learning & Educational
5056,Giáo viên của tom bảo anh ta chú ý hơn đến dấu câu của mình .,Tom's teacher told him to pay more attention to his punctuation.,Learning & Educational
4204,Tôi phải học tiếng nhật,I have to study Japanese.,Learning & Educational
5120,Bạn đã nói với tom tại sao bạn muốn học tiếng Pháp chưa ?,Have you told Tom why you want to study French?,Learning & Educational
4425,Giáo viên bắt tôi nhắc lại câu .,The teacher made me repeat the sentence.,Learning & Educational
9543,Bạn không cần mua cuốn sách này .,You didn't need to buy this book.,Learning & Educational
2901,Cây bút chì tôi mất hôm qua là một cái cũ,The pencil I lost yesterday was an old one,Learning & Educational
10104,Hôm qua bạn có học tiếng Pháp không,Did you study French yesterday?,Learning & Educational
10149,"Nếu không có những cuốn sách hay , cuộc sống của chúng ta sẽ nghèo hơn nhiều","If it were not for great books, our lives would be much the poorer",Learning & Educational
3895,Mọi thứ ở trường thế nào,How are things at school?,Learning & Educational
6059,Chúng tôi sẽ áp dụng phương pháp của bạn tại trường của chúng tôi,We will adopt your method at our school,Learning & Educational
4691,Bạn đã học tiếng Pháp từ ai ?,Who did you learn French from?,Learning & Educational
8379,Tôi có một vài cuốn sách tiếng anh,I have a few English books,Learning & Educational
9949,Tom có thường xuyên học bài tiếng Pháp không ?,How often does Tom take French lessons?,Learning & Educational
5427,"Tôi không chắc , nhưng tôi nghĩ tôi muốn trở thành một giáo viên .","I am not sure, but I think I want to be a teacher.",Learning & Educational
7814,Trường đại học của tôi có ký túc xá .,My college has dormitories.,Learning & Educational
10823,Tất cả chúng ta sẽ quay trở lại thư viện,We're all going back to the library,Learning & Educational
6779,Tôi quyết định không học tiếng Pháp,I decided not to study French,Learning & Educational
2932,Tom rõ ràng là một giáo viên tốt,Tom is obviously a good teacher.,Learning & Educational
5187,Tom không thể đưa nó cho bạn bây giờ,Tom can't give it to you now,Music
6686,Họ la nhưng ca si .,They are singers.,Music
4776,Tôi rất mong được gặp anh ấy,I'm looking forward to seeing him,Music
3627,Họ bắt đầu tất cả cùng một lúc .,They started all at once.,Music
5752,Tom và mary đã có chỗ ngồi thực sự tốt tại buổi hòa nhạc tối qua,Tom and Mary had really good seats at the concert last night,Music
601,Một bộ tứ dây đang diễn tập ở phòng bên cạnh,A string quartet is rehearsing in the next room,Music
6557,Đã lâu lắm rồi tôi mới thấy anh .,It has been a long time since I saw him.,Music
9618,Cô ấy có chơi piano không,Does she play piano?,Music
8717,Chúng ta phải khiến anh ấy thực hiện dự án đó một cách nghiêm túc .,We have got to get him to take that project seriously.,Music
10843,Họ đã phát hành tom,They've released Tom,Music
8094,Tom hy vọng sẽ gặp bạn vào tháng mười .,Tom hopes to see you in October.,Music
968,Tay trống yêu thích của bạn là ai ?,Who's your favorite drummer?,Music
4894,Tôi ước tôi đã mua một vé buổi hòa nhạc .,I wish I had bought a concert ticket.,Music
2651,Radio đang bật .,The radio is on.,Music
9153,Tom nghĩ rằng anh ấy biết nhạc sĩ yêu thích của mary là ai .,Tom thinks he knows who Mary's favorite musician is.,Music
2823,Bạn sẽ cho phép tôi chơi piano ?,Will you allow me to play the piano?,Music
424,Bạn là nhóm ủng hộ .,You are the backing group.,Music
19,Tôi chưa bao giờ hát hay .,I've never been good at singing.,Music
2767,Ông là một nhạc sĩ nghèo,He was a poor musician.,Music
9526,Anh ấy không phải là người thích nghe nhạc jazz .,He is not the sort of person who likes to listen to jazz.,Music
9361,Tom đã quyết tâm nói điều gì đó,Tom was determined to say something.,News & Social Concern
5919,Ai đó để chiếc ô của họ trong hội trường,Someone left their umbrella in the hall,News & Social Concern
408,Họ không thể ngăn chúng tôi .,They cannot stop us.,News & Social Concern
153,Kyoto là thủ đô cũ của Nhật bản,Kyoto was the former capital of Japan,News & Social Concern
2049,Tác phẩm mới nhất của ông được trưng bày tạm thời .,His latest works are on temporary display.,News & Social Concern
8429,Bức thư không cho biết cô sẽ đến Tokyo lúc mấy giờ,The letter does not say what time she will come up to Tokyo,News & Social Concern
8270,"Khi gặp nguy hiểm , họ chạy trốn","When they are in danger, they run away",News & Social Concern
6872,Bạn thật dũng cảm khi đi vào ngôi nhà đang cháy,It was brave of you to go into the burning house,News & Social Concern
3859,Tom là một người đàn ông dũng cảm,Tom is a brave man.,News & Social Concern
4095,Tom đeo một số găng tay cao su để anh ấy không để lại dấu vân tay .,Tom put on some rubber gloves so he wouldn't leave fingerprints.,News & Social Concern
2379,Nhân chứng đã tuyên thệ nhậm chức ?,Has the witness been sworn in?,News & Social Concern
5672,Chúng tôi có một cánh cửa giữa các văn phòng của chúng tôi,We have a door between our offices,News & Social Concern
1397,Tình hình rất nghiêm trọng,The situation is very serious.,News & Social Concern
6175,Tom đã không nhận được tin tức rất tốt,Tom didn't take the news very well,News & Social Concern
386,Tôi đã nhập tên của tom vào danh sách ứng cử viên,I entered Tom's name on the list of candidates,News & Social Concern
9579,Bạn sẽ phải lên tiếng .,You'll have to speak up.,News & Social Concern
10508,Chúng ta phải dừng tom,We have to stop Tom.,News & Social Concern
6072,Chính tôi là người đã giết chết kennedy,It was me who killed Kennedy,News & Social Concern
4177,Anh ta mắc nợ,He ran into debt,News & Social Concern
1622,Chúng tôi đợi tại hiện trường vụ tai nạn cho đến khi cảnh sát đến .,We waited at the scene of the accident till the police came.,News & Social Concern
8797,Chuông nhà thờ dùng để reo lúc ba .,The church bell used to ring at three.,Other Hobbies
9554,Tom đề nghị rằng những gì mary đã làm là cố ý .,Tom suggested that what Mary did was intentional.,Other Hobbies
3556,Tom trung thành với mary .,Tom is faithful to Mary.,Other Hobbies
5945,Những tiếng chuông bắt đầu vang lên .,The bells started to ring.,Other Hobbies
5015,Bạn có muốn tôi giúp bạn không,Would you like me to help you?,Other Hobbies
4079,Anh ấy bắt tay hàng ngàn người,He shook thousands of hands,Other Hobbies
4574,Tôi muốn bạn ngừng theo dõi tôi,I want you to stop following me,Other Hobbies
3566,Bạn nên thề trên kinh thánh,You should swear on the Bible.,Other Hobbies
3365,Tom không thích nó khi mary nứt đốt ngón tay .,Tom doesn't like it when Mary cracks her knuckles.,Other Hobbies
79,Đó là một nhà thờ gothic điển hình .,It is a typical Gothic church.,Other Hobbies
572,Tôi sẽ cho bạn ba mươi đô la .,I'll give you thirty dollars.,Other Hobbies
25,Ai muốn cái này,Who wants this?,Other Hobbies
2557,Tom thường trả tiền cho mọi thứ bằng tiền mặt .,Tom usually pays for everything in cash.,Other Hobbies
9467,Bạn có muốn mua cái này hay không ?,Do you want to buy this or not?,Other Hobbies
5957,Ông tin vào sức mạnh tối cao của luật pháp,He believed in the Supreme power of the law,Other Hobbies
9504,Bạn có thể giúp chúng tôi ?,Could you help us?,Other Hobbies
7755,Ai mua,Who's buying?,Other Hobbies
11042,Tôi có thể giúp gì cho bạn ?,How may I help you?,Other Hobbies
4783,"Cô nợ anh ta rất nhiều tiền , nhưng có lẽ cô sẽ không thể trả lại .","She owes him a lot of money, but she probably won't be able to pay it back.",Other Hobbies
8871,Chúng tôi đến thăm một nhà thờ nhỏ hàng trăm năm tuổi trên đường công viên,"We visited a small, hundred year-old church on Park Street",Other Hobbies
7258,Tom và mary chưa bao giờ gặp nhau,Tom and Mary have never met,Relationships
8272,Tom và mary gần đây đã bắt đầu hẹn hò .,Tom and Mary have recently started dating.,Relationships
1305,Tom muốn kết hôn với mary,Tom wants to be married to Mary,Relationships
2472,Cô ấy và tôi không có gì chung .,She and I have nothing in common.,Relationships
2668,Tom và mary ôm,Tom and Mary hugged,Relationships
4674,Cha mẹ của tom rất ủng hộ anh ấy .,Tom's parents were very supportive of him.,Relationships
10906,Tom và mary quyết định ly hôn,Tom and Mary decided to get divorced,Relationships
7014,Cặp vợ chồng có một đứa con trai,The couple had a son,Relationships
5011,Tom là một người bạn cũ,Tom is an old friend,Relationships
5238,"Sau cái chết của cha mình , john đã dành thời gian ở quán bar","After his father's death, John took to spending his time in bars",Relationships
5404,Tôi là con gái của tom .,I'm Tom's daughter.,Relationships
2938,Làm thế nào bạn biết đến nhau ?,How did you come to know one another?,Relationships
10898,Tom không muốn kết hôn cho đến khi anh ta ở tuổi ba mươi .,Tom doesn't want to get married until he's in his thirties.,Relationships
10293,Tom và mary đã ly hôn khoảng ba năm trước,Tom and Mary got divorced about three years ago,Relationships
8530,Bố của cô dâu xuất hiện muộn trong lễ cưới .,The bride's father showed up late for the wedding ceremony.,Relationships
10212,Tom và mary yêu trẻ con của họ,Tom and Mary love their kids,Relationships
6831,Một cậu bé mười bảy thường cao bằng cha mình .,A boy of seventeen is often as tall as his father.,Relationships
7229,Chúng tôi yêu bạn rất nhiều .,We love you so much.,Relationships
7741,Jane sẽ kết hôn vào tháng tới .,Jane is to be married next month.,Relationships
9198,Tom và mary trở thành bạn thân,Tom and Mary became best friends,Relationships
