topic_id,lesson_id,s_id
1,1,1069
1,1,8259
1,1,2795
1,1,10009
1,1,2506
1,1,2864
1,1,10782
1,1,5410
1,1,923
1,1,3199
1,2,1069
1,2,8259
1,2,2795
1,2,10009
1,2,2506
1,2,2864
1,2,10782
1,2,5410
1,2,923
1,2,3199
1,3,1069
1,3,8259
1,3,2795
1,3,10009
1,3,2506
1,3,2864
1,3,10782
1,3,5410
1,3,923
1,3,3199
1,4,1069
1,4,8259
1,4,2795
1,4,10009
1,4,2506
1,4,2864
1,4,10782
1,4,5410
1,4,923
1,4,3199
1,5,1069
1,5,8259
1,5,2795
1,5,10009
1,5,2506
1,5,2864
1,5,10782
1,5,5410
1,5,923
1,5,3199
2,1,8789
2,1,8978
2,1,1390
2,1,5628
2,1,740
2,1,3881
2,1,882
2,1,2191
2,1,3813
2,1,3046
2,2,8789
2,2,8978
2,2,1390
2,2,5628
2,2,740
2,2,3881
2,2,882
2,2,2191
2,2,3813
2,2,3046
2,3,8789
2,3,8978
2,3,1390
2,3,5628
2,3,740
2,3,3881
2,3,882
2,3,2191
2,3,3813
2,3,3046
2,4,8789
2,4,8978
2,4,1390
2,4,5628
2,4,740
2,4,3881
2,4,882
2,4,2191
2,4,3813
2,4,3046
2,5,8789
2,5,8978
2,5,1390
2,5,5628
2,5,740
2,5,3881
2,5,882
2,5,2191
2,5,3813
2,5,3046
3,1,6160
3,1,5496
3,1,1284
3,1,9612
3,1,7561
3,1,6832
3,1,10074
3,1,9480
3,1,1231
3,1,1941
3,2,6160
3,2,5496
3,2,1284
3,2,9612
3,2,7561
3,2,6832
3,2,10074
3,2,9480
3,2,1231
3,2,1941
3,3,6160
3,3,5496
3,3,1284
3,3,9612
3,3,7561
3,3,6832
3,3,10074
3,3,9480
3,3,1231
3,3,1941
3,4,6160
3,4,5496
3,4,1284
3,4,9612
3,4,7561
3,4,6832
3,4,10074
3,4,9480
3,4,1231
3,4,1941
3,5,6160
3,5,5496
3,5,1284
3,5,9612
3,5,7561
3,5,6832
3,5,10074
3,5,9480
3,5,1231
3,5,1941
4,1,9465
4,1,7763
4,1,7788
4,1,8980
4,1,840
4,1,3181
4,1,5088
4,1,5771
4,1,8036
4,1,5580
4,2,9465
4,2,7763
4,2,7788
4,2,8980
4,2,840
4,2,3181
4,2,5088
4,2,5771
4,2,8036
4,2,5580
4,3,9465
4,3,7763
4,3,7788
4,3,8980
4,3,840
4,3,3181
4,3,5088
4,3,5771
4,3,8036
4,3,5580
4,4,9465
4,4,7763
4,4,7788
4,4,8980
4,4,840
4,4,3181
4,4,5088
4,4,5771
4,4,8036
4,4,5580
4,5,9465
4,5,7763
4,5,7788
4,5,8980
4,5,840
4,5,3181
4,5,5088
4,5,5771
4,5,8036
4,5,5580
5,1,7903
5,1,962
5,1,4984
5,1,6783
5,1,10200
5,1,11034
5,1,5475
5,1,9090
5,1,5665
5,1,11050
5,2,7903
5,2,962
5,2,4984
5,2,6783
5,2,10200
5,2,11034
5,2,5475
5,2,9090
5,2,5665
5,2,11050
5,3,7903
5,3,962
5,3,4984
5,3,6783
5,3,10200
5,3,11034
5,3,5475
5,3,9090
5,3,5665
5,3,11050
5,4,7903
5,4,962
5,4,4984
5,4,6783
5,4,10200
5,4,11034
5,4,5475
5,4,9090
5,4,5665
5,4,11050
5,5,7903
5,5,962
5,5,4984
5,5,6783
5,5,10200
5,5,11034
5,5,5475
5,5,9090
5,5,5665
5,5,11050
6,1,10054
6,1,8357
6,1,4045
6,1,5700
6,1,8153
6,1,5348
6,1,1845
6,1,10783
6,1,3821
6,1,7395
6,2,10054
6,2,8357
6,2,4045
6,2,5700
6,2,8153
6,2,5348
6,2,1845
6,2,10783
6,2,3821
6,2,7395
6,3,10054
6,3,8357
6,3,4045
6,3,5700
6,3,8153
6,3,5348
6,3,1845
6,3,10783
6,3,3821
6,3,7395
6,4,10054
6,4,8357
6,4,4045
6,4,5700
6,4,8153
6,4,5348
6,4,1845
6,4,10783
6,4,3821
6,4,7395
6,5,10054
6,5,8357
6,5,4045
6,5,5700
6,5,8153
6,5,5348
6,5,1845
6,5,10783
6,5,3821
6,5,7395
7,1,9
7,1,768
7,1,1066
7,1,7025
7,1,9494
7,1,33
7,1,7588
7,1,1490
7,1,5076
7,1,7255
7,2,9
7,2,768
7,2,1066
7,2,7025
7,2,9494
7,2,33
7,2,7588
7,2,1490
7,2,5076
7,2,7255
7,3,9
7,3,768
7,3,1066
7,3,7025
7,3,9494
7,3,33
7,3,7588
7,3,1490
7,3,5076
7,3,7255
7,4,9
7,4,768
7,4,1066
7,4,7025
7,4,9494
7,4,33
7,4,7588
7,4,1490
7,4,5076
7,4,7255
7,5,9
7,5,768
7,5,1066
7,5,7025
7,5,9494
7,5,33
7,5,7588
7,5,1490
7,5,5076
7,5,7255
8,1,1981
8,1,9640
8,1,773
8,1,2496
8,1,4414
8,1,3852
8,1,5125
8,1,32
8,1,533
8,1,10327
8,2,1981
8,2,9640
