u_id,topic_id,lesson_id,score,status,last_updated
1,1,1,10000,Completed,2024-08-19 00:17:15
1,1,2,7000,In_Progress,2024-11-13 00:17:15
1,1,3,7000,In_Progress,2024-12-17 00:17:15
1,1,4,6000,In_Progress,2025-03-02 00:17:15
1,1,5,2000,In_Progress,2024-09-27 00:17:15
1,2,1,6000,In_Progress,2024-11-20 00:17:15
1,2,2,7000,In_Progress,2025-02-24 00:17:15
1,2,3,4000,In_Progress,2024-09-18 00:17:15
1,2,4,3000,In_Progress,2025-02-02 00:17:15
1,2,5,8000,In_Progress,2024-09-29 00:17:15
1,3,1,0,Not_Started,2024-06-12 00:17:15
1,3,2,9000,In_Progress,2025-01-01 00:17:15
1,3,3,0,Not_Started,2024-08-13 00:17:15
1,3,4,5000,In_Progress,2024-12-20 00:17:15
1,3,5,0,Not_Started,2024-08-21 00:17:15
1,4,1,9000,In_Progress,2025-01-15 00:17:15
1,4,2,6000,In_Progress,2024-12-16 00:17:15
1,4,3,0,Not_Started,2025-05-20 00:17:15
1,4,4,10000,Completed,2024-12-09 00:17:15
1,4,5,7000,In_Progress,2024-10-05 00:17:15
1,5,1,2000,In_Progress,2024-08-29 00:17:15
1,5,2,10000,Completed,2024-12-06 00:17:15
1,5,3,6000,In_Progress,2025-04-18 00:17:15
1,5,4,0,Not_Started,2024-10-04 00:17:15
1,5,5,1000,In_Progress,2024-10-31 00:17:15
1,6,1,8000,In_Progress,2024-10-27 00:17:15
1,6,2,5000,In_Progress,2025-03-17 00:17:15
1,6,3,1000,In_Progress,2024-07-11 00:17:15
1,6,4,3000,In_Progress,2024-08-31 00:17:15
1,6,5,10000,Completed,2024-11-12 00:17:15
1,7,1,1000,In_Progress,2024-08-22 00:17:15
1,7,2,2000,In_Progress,2024-10-09 00:17:15
1,7,3,3000,In_Progress,2024-09-06 00:17:15
1,7,4,2000,In_Progress,2024-06-15 00:17:15
1,7,5,7000,In_Progress,2025-02-20 00:17:15
1,8,1,0,Not_Started,2025-02-25 00:17:15
1,8,2,5000,In_Progress,2024-06-15 00:17:15
1,8,3,3000,In_Progress,2024-10-07 00:17:15
1,8,4,9000,In_Progress,2024-06-20 00:17:15
1,8,5,9000,In_Progress,2025-03-31 00:17:15
1,9,1,10000,Completed,2025-02-23 00:17:15
1,9,2,10000,Completed,2025-03-24 00:17:15
1,9,3,6000,In_Progress,2024-09-01 00:17:15
1,9,4,0,Not_Started,2024-10-10 00:17:15
1,9,5,2000,In_Progress,2024-09-30 00:17:15
1,10,1,9000,In_Progress,2024-07-03 00:17:15
1,10,2,9000,In_Progress,2024-11-04 00:17:15
1,10,3,3000,In_Progress,2025-03-08 00:17:15
1,10,4,0,Not_Started,2024-09-28 00:17:15
1,10,5,8000,In_Progress,2025-05-13 00:17:15
1,11,1,7000,In_Progress,2024-12-01 00:17:15
1,11,2,9000,In_Progress,2025-04-19 00:17:15
1,11,3,10000,Completed,2024-09-30 00:17:15
1,11,4,0,Not_Started,2024-08-15 00:17:15
1,11,5,6000,In_Progress,2025-05-29 00:17:15
1,12,1,8000,In_Progress,2024-07-31 00:17:15
1,12,2,10000,Completed,2024-07-25 00:17:15
1,12,3,8000,In_Progress,2025-02-04 00:17:15
1,12,4,5000,In_Progress,2024-12-04 00:17:15
1,12,5,1000,In_Progress,2024-08-19 00:17:15
1,13,1,0,Not_Started,2025-05-20 00:17:15
1,13,2,5000,In_Progress,2025-03-29 00:17:15
1,13,3,0,Not_Started,2025-04-13 00:17:15
1,13,4,2000,In_Progress,2024-08-12 00:17:15
1,13,5,5000,In_Progress,2025-04-01 00:17:15
1,14,1,3000,In_Progress,2025-03-03 00:17:15
1,14,2,7000,In_Progress,2025-02-03 00:17:15
1,14,3,6000,In_Progress,2024-10-23 00:17:15
1,14,4,10000,Completed,2025-04-05 00:17:15
1,14,5,5000,In_Progress,2024-07-07 00:17:15
1,15,1,8000,In_Progress,2024-09-22 00:17:15
1,15,2,8000,In_Progress,2024-08-04 00:17:15
1,15,3,9000,In_Progress,2024-06-27 00:17:15
1,15,4,5000,In_Progress,2024-08-24 00:17:15
1,15,5,9000,In_Progress,2024-09-25 00:17:15
1,16,1,8000,In_Progress,2024-12-22 00:17:15
1,16,2,8000,In_Progress,2024-10-04 00:17:15
1,16,3,3000,In_Progress,2025-01-15 00:17:15
1,16,4,10000,Completed,2024-12-14 00:17:15
1,16,5,4000,In_Progress,2025-03-17 00:17:15
1,17,1,0,Not_Started,2024-09-06 00:17:15
1,17,2,2000,In_Progress,2025-01-05 00:17:15
1,17,3,6000,In_Progress,2024-06-26 00:17:15
1,17,4,3000,In_Progress,2024-11-13 00:17:15
1,17,5,0,Not_Started,2024-09-03 00:17:15
1,18,1,0,Not_Started,2024-10-19 00:17:15
1,18,2,1000,In_Progress,2024-07-10 00:17:15
1,18,3,2000,In_Progress,2024-07-01 00:17:15
1,18,4,10000,Completed,2025-05-02 00:17:15
1,18,5,9000,In_Progress,2024-06-23 00:17:15
1,19,1,6000,In_Progress,2024-09-04 00:17:15
1,19,2,1000,In_Progress,2024-11-08 00:17:15
1,19,3,1000,In_Progress,2025-01-31 00:17:15
1,19,4,1000,In_Progress,2024-11-17 00:17:15
1,19,5,0,Not_Started,2025-02-18 00:17:15
2,1,1,3000,In_Progress,2024-07-05 00:17:15
2,1,2,10000,Completed,2025-03-03 00:17:15
2,1,3,4000,In_Progress,2024-10-08 00:17:15
2,1,4,0,Not_Started,2025-04-17 00:17:15
2,1,5,5000,In_Progress,2025-05-22 00:17:15
2,2,1,6000,In_Progress,2025-04-09 00:17:15
2,2,2,6000,In_Progress,2024-06-17 00:17:15
2,2,3,5000,In_Progress,2025-03-21 00:17:15
2,2,4,6000,In_Progress,2025-02-12 00:17:15
2,2,5,8000,In_Progress,2025-02-28 00:17:15
2,3,1,5000,In_Progress,2024-06-05 00:17:15
2,3,2,6000,In_Progress,2025-01-31 00:17:15
2,3,3,4000,In_Progress,2024-09-10 00:17:15
2,3,4,10000,Completed,2025-01-20 00:17:15
2,3,5,2000,In_Progress,2024-06-29 00:17:15
2,4,1,8000,In_Progress,2025-04-19 00:17:15
2,4,2,0,Not_Started,2024-10-15 00:17:15
2,4,3,2000,In_Progress,2025-04-21 00:17:15
2,4,4,5000,In_Progress,2024-10-10 00:17:15
2,4,5,7000,In_Progress,2025-02-16 00:17:15
2,5,1,2000,In_Progress,2025-03-09 00:17:15
2,5,2,2000,In_Progress,2024-10-14 00:17:15
2,5,3,5000,In_Progress,2024-10-26 00:17:15
2,5,4,6000,In_Progress,2024-11-12 00:17:15
2,5,5,10000,Completed,2024-08-28 00:17:15
2,6,1,10000,Completed,2025-03-31 00:17:15
2,6,2,1000,In_Progress,2025-04-28 00:17:15
2,6,3,10000,Completed,2024-07-22 00:17:15
2,6,4,7000,In_Progress,2024-08-16 00:17:15
2,6,5,10000,Completed,2025-05-26 00:17:15
2,7,1,3000,In_Progress,2024-06-23 00:17:15
2,7,2,4000,In_Progress,2024-10-06 00:17:15
2,7,3,4000,In_Progress,2024-08-09 00:17:15
2,7,4,2000,In_Progress,2024-12-03 00:17:15
2,7,5,1000,In_Progress,2024-12-02 00:17:15
2,8,1,1000,In_Progress,2024-12-06 00:17:15
2,8,2,10000,Completed,2024-07-26 00:17:15
2,8,3,0,Not_Started,2025-04-17 00:17:15
2,8,4,4000,In_Progress,2024-07-12 00:17:15
2,8,5,7000,In_Progress,2024-09-06 00:17:15
2,9,1,6000,In_Progress,2024-07-30 00:17:15
2,9,2,7000,In_Progress,2025-01-24 00:17:15
2,9,3,7000,In_Progress,2024-11-04 00:17:15
2,9,4,0,Not_Started,2025-02-17 00:17:15
2,9,5,8000,In_Progress,2025-05-01 00:17:15
2,10,1,3000,In_Progress,2024-08-10 00:17:15
2,10,2,10000,Completed,2025-02-13 00:17:15
2,10,3,4000,In_Progress,2024-08-29 00:17:15
2,10,4,4000,In_Progress,2025-02-18 00:17:15
2,10,5,10000,Completed,2025-04-11 00:17:15
2,11,1,2000,In_Progress,2024-12-04 00:17:15
2,11,2,2000,In_Progress,2025-04-11 00:17:15
2,11,3,1000,In_Progress,2024-08-16 00:17:15
2,11,4,1000,In_Progress,2024-11-11 00:17:15
2,11,5,6000,In_Progress,2024-10-25 00:17:15
2,12,1,8000,In_Progress,2024-10-23 00:17:15
2,12,2,8000,In_Progress,2024-11-29 00:17:15
2,12,3,7000,In_Progress,2024-07-27 00:17:15
2,12,4,7000,In_Progress,2024-09-28 00:17:15
2,12,5,8000,In_Progress,2024-07-07 00:17:15
2,13,1,7000,In_Progress,2024-11-25 00:17:15
2,13,2,4000,In_Progress,2024-12-18 00:17:15
2,13,3,6000,In_Progress,2025-01-01 00:17:15
2,13,4,9000,In_Progress,2025-05-17 00:17:15
2,13,5,7000,In_Progress,2024-06-06 00:17:15
2,14,1,2000,In_Progress,2024-07-30 00:17:15
2,14,2,6000,In_Progress,2024-08-12 00:17:15
2,14,3,6000,In_Progress,2025-04-24 00:17:15
2,14,4,2000,In_Progress,2025-02-01 00:17:15
2,14,5,6000,In_Progress,2024-10-17 00:17:15
2,15,1,4000,In_Progress,2024-09-11 00:17:15
2,15,2,5000,In_Progress,2025-03-11 00:17:15
2,15,3,1000,In_Progress,2024-09-01 00:17:15
2,15,4,1000,In_Progress,2024-11-26 00:17:15
2,15,5,4000,In_Progress,2024-09-13 00:17:15
2,16,1,1000,In_Progress,2024-08-01 00:17:15
2,16,2,9000,In_Progress,2024-08-11 00:17:15
2,16,3,0,Not_Started,2025-03-01 00:17:15
2,16,4,6000,In_Progress,2025-05-30 00:17:15
2,16,5,3000,In_Progress,2025-05-15 00:17:15
2,17,1,6000,In_Progress,2024-10-29 00:17:15
2,17,2,6000,In_Progress,2025-04-04 00:17:15
2,17,3,6000,In_Progress,2025-03-30 00:17:15
2,17,4,6000,In_Progress,2024-06-29 00:17:15
2,17,5,1000,In_Progress,2024-12-23 00:17:15
2,18,1,7000,In_Progress,2024-09-07 00:17:15
2,18,2,3000,In_Progress,2024-08-17 00:17:15
2,18,3,5000,In_Progress,2025-02-10 00:17:15
2,18,4,4000,In_Progress,2025-04-06 00:17:15
2,18,5,7000,In_Progress,2025-04-16 00:17:15
2,19,1,2000,In_Progress,2024-11-05 00:17:15
2,19,2,3000,In_Progress,2024-06-19 00:17:15
2,19,3,7000,In_Progress,2024-11-17 00:17:15
2,19,4,10000,Completed,2025-04-02 00:17:15
2,19,5,9000,In_Progress,2024-12-30 00:17:15
3,1,1,2000,In_Progress,2025-04-22 00:17:15
3,1,2,7000,In_Progress,2025-01-22 00:17:15
3,1,3,5000,In_Progress,2025-02-09 00:17:15
3,1,4,10000,Completed,2024-12-17 00:17:15
3,1,5,5000,In_Progress,2025-03-19 00:17:15
3,2,1,4000,In_Progress,2024-08-18 00:17:15
3,2,2,10000,Completed,2024-12-27 00:17:15
3,2,3,3000,In_Progress,2024-09-11 00:17:15
3,2,4,8000,In_Progress,2024-11-01 00:17:15
